'32.448611','-99.732778','Abilene, TX','abilene'
'40.929078','-81.404572','Akron/Canton, OH','akroncanton'
'61.241174','-149.298706','Alaska','anchorage'
'31.576781','-84.176216','Albany, GA','albanyga'
'42.652500','-73.756667','Albany, NY','albany'
'35.092383','-106.613388','Albuquerque, NM','albuquerque'
'40.608333','-75.466667','Allentown, PA','allentown'
'40.518611','-78.395000','Altoona, PA','altoona'
'35.221944','-101.830833','Amarillo, TX','amarillo'
'42.034722','-93.619722','Ames, IA','ames'
'42.276674','-83.727322','Ann Arbor, MI','annarbor'
'38.959008','-76.518230','Annapolis, MD','annapolis'
'44.261944','-88.415278','Appleton, WI','appleton'
'35.600833','-82.554167','Asheville, NC','asheville'
'41.881959','-80.796719','Ashtabula, OH','ashtabula'
'33.960833','-83.378056','Athens, GA','athensga'
'39.329167','-82.101389','Athens, OH','athensohio'
'33.748889','-84.388056','Atlanta, GA','atlanta'
'32.607440','-85.481730','Auburn, AL','auburn'
'33.472778','-81.964444','Augusta, GA','augusta'
'30.266944','-97.742778','Austin, TX','austin'
'35.357696','-119.016266','Bakersfield, CA','bakersfield'
'39.290278','-76.612500','Baltimore, MD','baltimore'
'30.450556','-91.154444','Baton Rouge, LA','batonrouge'
'42.301436','-85.220604','Battle Creek, MI','battlecreek'
'30.085833','-94.101667','Beaumont, TX','beaumont'
'48.759722','-122.486944','Bellingham, WA','bellingham'
'47.486121','-94.874840','Bemidji, MN','bemidji'
'44.058333','-121.314167','Bend, OR','bend'
'41.988077','-85.479126','Billings, MT','billings'
'42.098611','-75.918333','Binghamton, NY','binghamton'
'33.505904','-86.812592','Birmingham, AL','bham'
'46.810164','-100.769348','Bismarck, ND','bismarck'
'37.229444','-80.414167','Blacksburg, VA','blacksburg'
'39.165278','-86.526389','Bloomington, IN','bloomington'
'40.491871','-88.970375','Bloomington/Normal, IL','bn'
'43.613611','-116.202500','Boise, ID','boise'
'36.216667','-81.674722','Boone, NC','boone'
'42.358333','-71.060278','Boston, MA','boston'
'40.016178','-105.262756','Boulder, CO','boulder'
'36.990278','-86.443611','Bowling Green, KY','bgky'
'45.679440','-111.042767','Bozeman, MT','bozeman'
'46.298158','-94.114542','Brainerd, MN','brainerd'
'25.901389','-97.497222','Brownsville, TX','brownsville'
'42.886389','-78.878611','Buffalo, NY','buffalo'
'44.475833','-73.212500','Burlington, VT','burlington'
